# BRON: KONINKLIJK NEDERLANDS METEOROLOGISCH INSTITUUT (KNMI)
# Opmerking: door stationsverplaatsingen en veranderingen in waarneemmethodieken zijn deze tijdreeksen van dagwaarden mogelijk inhomogeen! Dat betekent dat deze reeks van gemeten waarden niet geschikt is voor trendanalyse. Voor studies naar klimaatverandering verwijzen we naar de gehomogeniseerde reeks maandtemperaturen van De Bilt <http://www.knmi.nl/kennis-en-datacentrum/achtergrond/gehomogeniseerde-reeks-maandtemperaturen-de-bilt> of de Centraal Nederland Temperatuur <http://www.knmi.nl/kennis-en-datacentrum/achtergrond/centraal-nederland-temperatuur-cnt>.
# 
# 
# STN      LON(east)   LAT(north)     ALT(m)  NAME
,260,         5.180,       52.100,       1.90,  DE BILT
,380,         5.762,       50.906,     114.30,  MAASTRICHT
# 
# YYYYMMDD = Datum (YYYY=jaar MM=maand DD=dag); 
# TG       = Etmaalgemiddelde temperatuur (in 0.1 graden Celsius); 
# TN       = Minimum temperatuur (in 0.1 graden Celsius); 
# TX       = Maximum temperatuur (in 0.1 graden Celsius); 
# 
# STN,YYYYMMDD,   TG,   TN,   TX
# 
  260,19630716,  167,  125,  201
  260,19630717,  157,  120,  197
  260,19630718,  149,  110,  178
  260,19630719,  175,  142,  214
  260,19630720,  168,  120,  210
  260,19630721,  173,   92,  245
  260,19630722,  208,  134,  284
  260,19630723,  199,  149,  261
  260,19630724,  204,  153,  242
  260,19630725,  143,   99,  180
  260,19630726,  139,   82,  188
  260,19630727,  137,   48,  190
  260,19630728,  155,   85,  211
  260,19630729,  188,  112,  249
  260,19630730,  182,  118,  231
  260,19630731,  169,  108,  218
  260,19630801,  176,   96,  238
  260,19630802,  206,  102,  287
  260,19630803,  213,  162,  274
  260,19630804,  178,  149,  208
  260,19630805,  175,  139,  220
  260,19630806,  189,  146,  243
  260,19630807,  164,  102,  213
  260,19630808,  144,   96,  190
  260,19630809,  141,  129,  156
  260,19630810,  149,  120,  175
  260,19630811,  162,  132,  194
  260,19630812,  155,  126,  187
  260,19630813,  146,   95,  197
  260,19630814,  151,   95,  205
  260,19630815,  147,  121,  184
  260,19630816,  147,  106,  196
  260,19630817,  132,   92,  159
  260,19630818,  125,   83,  191
  260,19630819,  143,  119,  177
  260,19630820,  126,  110,  154
  260,19630821,  127,  108,  156
  260,19630822,  142,  131,  156
  260,19630823,  152,  131,  180
  260,19630824,  142,  123,  170
  260,19630825,  157,  137,  182
  260,19630826,  173,  136,  203
  260,19630827,  141,  104,  183
  260,19630828,  115,   82,  138
  260,19630829,  117,   67,  181
  260,19630830,  132,   45,  185
  260,19630831,  141,  122,  178
  260,19630901,  162,  112,  210
  260,19630902,  149,  130,  183
  260,19630903,  133,  125,  148
  260,19630904,  130,  112,  160
  260,19630905,  131,  107,  173
  260,19630906,  121,   83,  155
  260,19630907,  117,   67,  175
  260,19630908,  127,   87,  164
  260,19630909,  123,   77,  158
  260,19630910,  130,   70,  189
  260,19630911,  144,  110,  185
  260,19630912,  147,  105,  194
  260,19630913,  145,  108,  194
  260,19630914,  142,   78,  215
  260,19630915,  135,   58,  194
  260,19630916,  159,   68,  239
  260,19630917,  179,  119,  262
  260,19630918,  165,  134,  219
  260,19630919,  142,  107,  179
  260,19630920,  148,  112,  178
  260,19630921,  141,  106,  163
  260,19630922,  154,  132,  188
  260,19630923,  161,  123,  207
  260,19630924,  163,  130,  193
  260,19630925,  108,   68,  147
  260,19630926,  132,   89,  167
  260,19630927,  129,  112,  158
  260,19630928,   93,   42,  144
  260,19630929,  124,   62,  144
  260,19630930,  119,   93,  133
  260,19631001,  112,   93,  130
  260,19631002,   95,   63,  131
  260,19631003,  104,   58,  130
  260,19631004,  108,   53,  156
  260,19631005,   94,   63,  135
  260,19631006,   99,   67,  140
  260,19631007,   92,   34,  151
  260,19631008,  100,   26,  138
  260,19631009,  112,   55,  156
  260,19631010,  110,   62,  145
  260,19631011,  122,   97,  136
  260,19631012,  133,  113,  171
  260,19631013,  115,   97,  142
  260,19631014,   90,   41,  131
  260,19631015,   76,   14,  125
  260,19631016,  106,   84,  143
  260,19631017,  102,   79,  138
  260,19631018,  113,   60,  151
  260,19631019,  107,   60,  153
  260,19631020,  128,   84,  160
  260,19631021,  120,   89,  168
  260,19631022,  108,   19,  152
  260,19631023,   84,   19,  119
  260,19631024,  135,  115,  157
  260,19631025,  114,   71,  145
  260,19631026,   70,   37,  136
  260,19631027,   40,   23,   53
  260,19631028,   45,   17,   62
  260,19631029,   43,   30,   49
  260,19631030,   49,   25,   98
  260,19631031,   68,   27,  119
  260,19631101,   78,   62,   99
  260,19631102,   95,   63,  133
  260,19631103,   87,   40,  140
  260,19631104,   78,   22,  114
  260,19631105,  129,   94,  165
  260,19631106,  120,  101,  147
  260,19631107,   92,   67,  108
  260,19631108,   98,   80,  132
  260,19631109,   96,   64,  119
  260,19631110,  106,   76,  137
  260,19631111,  114,   96,  136
  260,19631112,  107,   85,  129
  260,19631113,   70,   51,   87
  260,19631114,   54,   26,   91
  260,19631115,   46,   20,   74
  260,19631116,   66,   25,  100
  260,19631117,   66,   25,  102
  260,19631118,  118,   94,  143
  260,19631119,  131,  107,  151
  260,19631120,   81,   37,  134
  260,19631121,   62,   27,  102
  260,19631122,   95,   59,  125
  260,19631123,   82,   38,  122
  260,19631124,   95,   86,  103
  260,19631125,   84,   65,  115
  260,19631126,   64,   27,   94
  260,19631127,   35,   -6,   80
  260,19631128,   30,   -2,   62
  260,19631129,   44,   14,   59
  260,19631130,   58,   50,   64
  260,19631201,   52,   27,   79
  260,19631202,   26,   -1,   51
  260,19631203,    5,  -17,   37
  260,19631204,   -7,  -27,   37
  260,19631205,    1,  -26,   23
  260,19631206,  -13,  -30,   15
  260,19631207,  -15,  -56,   25
